2022-08-06,flemington,5
2022-01-26,caulfield,1
2022-01-12,caulfield,1
2022-09-17,royal-randwick,5
2023-04-08,royal-randwick,1
2022-01-26,caulfield,4
2022-07-23,royal-randwick,4
2023-07-01,rosehill-gardens,6
2022-12-26,royal-randwick,1
2023-03-11,flemington,8
2023-07-08,royal-randwick,9
2023-04-01,royal-randwick,2
2023-05-13,flemington,9

