jockey,jockey_career_wins,jockey_group_1_wins,jockey_prize_money,jockey_win_pct,jockey_recent_win_pct,jockey_group_1_win_pct,jockey_group_1_place_pct,jockey_group_2_win_pct,jockey_group_2_place_pct,jockey_group_3_win_pct,jockey_group_3_place_pct,jockey_listed_win_pct,jockey_listed_place_pct,jockey_other_win_pct,jockey_other_place_pct
qin-yong,73,0,1884172,6,6,,,,,,,,,6,23
quayde-krogh,270,0,5206805,10,10,0,0,,,0,0,0,28,10,33
rachel-king,569,3,46478944,10,12,3,16,7,21,10,25,10,30,11,33
randy-tan,250,0,6334686,6,,,,0,0,0,0,9,24,6,21
reece-jones,333,0,15191847,10,8,0,16,12,12,10,28,0,22,11,32
regan-bayliss,501,6,34335120,10,8,6,15,9,19,3,16,7,26,11,31
rhys-mcleod,715,4,20821615,9,14,3,10,0,19,8,16,5,22,9,29
robbie-brewer,411,0,6983853,7,4,0,0,0,0,0,7,4,20,7,26
robbie-dolan,266,2,17603955,9,4,4,18,6,16,3,21,6,13,9,31
robbie-downey,71,0,2342144,9,6,,,,,0,20,0,50,9,28
robert-thompson,2484,3,36869736,14,6,6,20,6,17,13,25,9,25,14,38
robyn-freeman,451,0,6169844,9,4,,,0,0,0,50,7,15,9,29
ron-stewart,526,3,17644187,8,10,13,17,5,15,1,11,3,13,9,29
ronald-simpson,67,0,1304167,13,14,,,,,,,,,13,34
rory-hutchings,368,2,12147915,14,14,6,34,4,29,10,33,6,17,15,37
ryan-houston,44,0,1218267,12,16,,,,,,,0,0,12,33
ryan-maloney,1353,3,44017252,14,10,6,20,9,34,12,38,10,29,14,38
ryan-moore,467,76,110720971,32,38,21,57,32,66,32,70,39,73,36,72
sally-wynne,452,0,7415772,5,6,0,0,0,14,0,10,0,4,5,20
sam-clipperton,581,5,47492282,10,6,4,20,6,28,9,28,12,31,10,33
sam-weatherley,164,2,6416181,15,28,8,39,6,43,14,48,17,48,15,47
samantha-clenton,356,0,9468734,14,6,,,0,0,0,25,20,40,14,38
serg-lisnyy,353,0,10053966,6,2,,,,,0,0,0,0,6,22
shaun-guymer,543,0,13876844,8,18,0,0,0,0,0,20,0,5,8,28
sheridan-clarke,70,0,2468417,8,8,,,,,,,,,8,24
shirley-hunter,229,0,2391286,7,2,,,,,,,0,0,7,24
sigrid-carr,558,0,12157643,12,2,0,0,,,12,22,7,34,12,36
simon-miller,620,0,9545262,9,4,,,0,0,0,0,0,0,9,29
stephen-baster,1256,14,58937531,9,8,4,18,7,22,9,23,8,22,10,30
suraj-narredu,6,0,202160,7,8,,,,,,,0,0,7,24
tahlia-hope,212,0,7146405,8,12,0,0,0,0,16,33,7,14,8,27
tatum-bull,104,0,3113679,10,6,,,,,,,,,10,30
tayla-childs,43,0,1579750,6,6,,,,,,,0,0,6,24
taylor-marshall,351,0,14012354,8,4,0,0,0,25,4,27,6,20,8,29
teo-nugent,343,1,16216336,10,6,14,28,0,7,11,22,8,18,10,32
thomas-stockdale,267,0,11001385,9,14,,,0,0,20,40,0,10,9,27
tim-clark,1447,23,115531773,12,10,6,23,11,32,11,31,11,30,12,36
tom-madden,23,0,804008,7,10,,,,,0,0,50,100,6,22
tom-marquand,152,8,20873453,20,20,11,31,14,51,33,57,32,67,19,48
tom-prebble,29,0,918665,11,6,,,,,,,,,11,34
tom-sherry,278,0,16296357,13,8,0,0,3,17,5,29,8,23,13,38
tommy-berry,1443,34,130440212,13,6,11,27,13,33,9,32,13,34,13,37
troy-turner,2047,3,48078417,9,6,5,19,5,27,7,27,9,27,10,31
tyler-schiller,344,1,21718967,12,6,5,20,0,17,9,20,6,15,12,36
will-gordon,195,0,6761791,9,16,,,,,,,0,33,9,31
will-price,206,0,9648491,9,10,0,25,0,0,12,18,2,23,9,29
william-buick,332,41,38641174,37,28,26,63,36,68,28,62,40,80,42,76
william-pike,3152,17,122856090,19,30,14,33,23,41,17,45,20,46,19,45
william-stanley,47,0,800835,9,8,,,,,,,,,9,34
winona-costin,584,0,19138776,9,10,0,10,0,17,3,3,4,12,10,29
wiremu-pinn,83,1,2423716,18,16,20,40,22,33,12,43,47,76,17,54
zac-lloyd,224,0,10558120,17,18,0,40,33,41,0,22,8,16,17,45
zac-purton,1061,24,81281722,16,30,12,27,9,29,9,30,12,31,17,44
zac-spain,513,2,19991540,9,8,12,25,5,23,5,35,7,25,9,29
zac-wadick,69,0,1649662,10,20,,,,,,,,,10,28
