20230805,rosehill-gardens
20230805,flemington
20230729,royal-randwick
20230722,rosehill-gardens
20230722,caulfield
20230715,royal-randwick
20230715,flemington
20230708,royal-randwick
20230708,caulfield
20230701,rosehill-gardens
20230701,flemington
20230624,royal-randwick
20230624,caulfield
20230617,rosehill-gardens
20230617,flemington
20230610,royal-randwick
20230603,rosehill-gardens
20230603,flemington
20230527,royal-randwick
20230520,rosehill-gardens
20230520,flemington
20230513,flemington
20230429,rosehill-gardens
20230415,royal-randwick
20230408,royal-randwick
20230401,royal-randwick
20230325,rosehill-gardens
20230325,flemington
20230318,rosehill-gardens
20230311,rosehill-gardens
20230311,flemington
20230304,royal-randwick
20230304,flemington
20230225,royal-randwick
20230218,rosehill-gardens
20230218,flemington
20230211,royal-randwick
20230204,royal-randwick
20230128,rosehill-gardens
20230121,royal-randwick
20230114,rosehill-gardens
20230114,flemington
20230107,rosehill-gardens
20230101,flemington
20221231,royal-randwick
20221226,royal-randwick
20221224,royal-randwick
20221217,royal-randwick
20221217,flemington
20221210,royal-randwick
20221203,rosehill-gardens
20221126,rosehill-gardens
20221116,rosehill-gardens
20221105,rosehill-gardens
20221105,flemington
20221103,flemington
20221101,royal-randwick
20221101,flemington
20221029,rosehill-gardens
20221029,flemington
20221022,royal-randwick
20221015,royal-randwick
20221015,caulfield
20221012,caulfield
20221008,royal-randwick
20221008,caulfield
20221001,royal-randwick
20221001,flemington
20220928,rosehill-gardens
20220924,rosehill-gardens
20220918,flemington
20220917,royal-randwick
20220917,caulfield
20220910,rosehill-gardens
20220910,flemington
20220903,royal-randwick
20220827,rosehill-gardens
20220827,caulfield
20220820,royal-randwick
20220813,rosehill-gardens
20220813,caulfield
20220806,royal-randwick
20220806,flemington
20220730,rosehill-gardens
20220723,royal-randwick
20220723,caulfield
20220716,rosehill-gardens
20220716,flemington
20220709,royal-randwick
20220709,caulfield
20220702,rosehill-gardens
20220702,flemington
20220625,royal-randwick
20220625,caulfield
20220618,rosehill-gardens
20220618,flemington
20220611,royal-randwick
20220604,rosehill-gardens
20220604,flemington
20220528,royal-randwick
20220528,caulfield
20220521,rosehill-gardens
20220521,flemington
20220514,flemington
20220507,caulfield
20220425,flemington
20220423,royal-randwick
20220416,royal-randwick
20220416,caulfield
20220409,royal-randwick
20220409,caulfield
20220402,royal-randwick
20220326,rosehill-gardens
20220319,rosehill-gardens
20220319,flemington
20220312,rosehill-gardens
20220312,flemington
20220305,royal-randwick
20220305,flemington
20220226,royal-randwick
20220226,caulfield
20220219,rosehill-gardens
20220219,flemington
20220212,royal-randwick
20220212,caulfield
20220205,royal-randwick
20220205,caulfield
20220129,rosehill-gardens
20220126,caulfield
20220122,royal-randwick
20220121,flemington
20220115,rosehill-gardens
20220115,flemington
20220112,caulfield
20220108,rosehill-gardens
20220108,caulfield
20220101,flemington
