trainer,trainer_career_wins,trainer_group_1_wins,trainer_prize_money,trainer_win_pct,trainer_place_pct,trainer_recent_win_pct,trainer_group_1_win_pct,trainer_group_1_place_pct,trainer_group_2_win_pct,trainer_group_2_place_pct,trainer_group_3_win_pct,trainer_group_3_place_pct,trainer_listed_win_pct,trainer_listed_place_pct,trainer_other_win_pct,trainer_other_place_pct
steven-wilson,37,0,766015,6,21,6,0,0,,,0,0,,,6,21
steven-wise,15,0,350670,11,28,10,,,,,,,,,11,28
stirling-osland,158,0,3443380,11,34,10,,,,,0,0,0,50,11,34
stuart-warden,5,0,107155,13,30,13,,,,,,,,,13,30
sue-grills,798,0,10918388,12,35,12,0,0,0,33,0,50,10,15,12,35
sue-murphy,527,0,6828578,11,33,8,,,0,25,9,18,6,16,11,33
symon-wilde,604,0,20929767,14,39,12,0,0,10,20,21,40,8,24,14,39
tammy-birnie,6,0,203364,5,22,6,,,,,,,,,5,22
tara-vigouroux,177,0,3465162,7,28,6,,,0,0,,,0,0,7,28
tash-burleigh,81,0,2620472,14,37,16,,,0,0,0,0,,,14,37
terry-croft,97,0,2760205,7,25,6,0,0,,,0,50,0,0,7,25
terry-evans,159,0,2729811,6,21,2,,,0,0,0,0,0,0,6,21
terry-kelly,354,0,6172271,10,28,12,0,0,0,7,0,16,4,18,10,28
terry-robinson,257,0,8081391,9,29,10,0,25,0,14,10,50,0,17,9,30
tetyana-furdetska,7,0,343795,3,17,8,,,,,,,,,3,17
theresa-bateup,212,0,6062605,8,28,,,,,,7,7,8,8,8,28
thomas-carberry,35,0,1182327,11,32,14,,,,,,,,,11,32
tim-donnelly,225,1,4479775,12,33,22,12,25,15,38,22,22,8,32,12,33
tim-martin,918,9,26306517,18,43,4,9,20,14,34,15,43,9,27,19,44
tim-mcintosh,59,0,1561110,7,29,6,,,,,,,0,0,7,29
toby-pracey,5,0,175330,9,40,10,,,,,,,,,9,40
todd-howlett,418,0,8771839,9,29,10,0,0,0,50,12,25,5,11,9,29
todd-smart,89,0,2147622,10,34,18,,,,,0,0,0,20,10,35
tom-button,313,0,5915100,13,38,18,0,0,0,20,0,0,0,10,13,38
tom-dabernig,310,1,15748458,12,37,4,2,20,4,31,16,33,5,24,13,38
tony-ball,50,0,1525685,7,25,6,,,,,0,0,,,7,25
tony-gollan,1849,6,77976457,16,41,22,6,21,7,36,6,29,10,28,16,43
tony-mcevoy,2341,15,103057799,16,41,18,5,20,10,26,9,27,9,29,17,44
tony-noonan,1036,1,28528970,11,33,8,1,8,9,19,7,23,8,26,12,34
tony-sergi,93,0,1447015,10,31,6,,,0,0,0,20,9,9,10,31
tracey-bartley,518,3,13365174,13,36,18,13,39,0,31,4,14,8,23,13,37
travis-doudle,194,0,5511160,14,37,20,0,0,0,0,0,0,2,25,15,38
trent-busuttin,592,9,36556065,13,36,14,6,18,7,22,8,30,10,24,13,37
trevor-j-andrews,16,0,615687,5,21,8,0,0,,,0,0,0,10,6,22
trevor-rogers,65,0,1412890,12,34,16,0,0,0,0,0,0,7,28,13,34
troy-corstens,262,2,11519178,11,34,16,9,18,6,22,0,30,10,36,12,35
troy-oneile,54,0,1329660,6,26,4,,,,,,,0,0,6,26
tyrone-coyle,5,0,194420,20,40,20,,,,,,,,,20,40
vincent-malady,195,0,3554196,9,33,16,,,,,,,,,9,33
warren-gavenlock,82,0,2153505,8,26,12,,,,,0,0,0,0,8,26
wayne-carroll,261,0,3205049,10,32,10,,,33,33,,,33,33,10,32
wayne-hudd,75,0,1203307,10,32,8,,,,,,,,,10,32
wayne-seelin,91,0,2824677,6,24,4,,,,,0,0,0,20,6,24
wayne-wilkes,267,0,5171340,10,28,10,,,0,0,0,21,6,26,10,28
wendy-kelly,359,1,8474337,10,31,4,8,16,0,20,16,27,5,8,10,31
will-clarken,364,1,14054190,17,40,16,4,17,9,38,6,17,11,26,18,42
william-freedman,60,0,1733555,14,35,6,0,0,0,0,0,33,0,0,14,35
william-haggas,36,6,11647726,32,56,34,28,52,28,57,21,71,60,90,36,58
yassy-nishitani,24,0,727414,7,33,14,,,0,0,,,25,25,7,33
yoshito-yahagi,11,5,14722495,18,50,18,26,33,8,44,18,63,33,100,16,66
yoshitomo-shima,11,0,335425,8,24,8,,,,,,,0,100,8,23
