trainer,trainer_career_wins,trainer_group_1_wins,trainer_prize_money,trainer_win_pct,trainer_place_pct,trainer_recent_win_pct,trainer_group_1_win_pct,trainer_group_1_place_pct,trainer_group_2_win_pct,trainer_group_2_place_pct,trainer_group_3_win_pct,trainer_group_3_place_pct,trainer_listed_win_pct,trainer_listed_place_pct,trainer_other_win_pct,trainer_other_place_pct
jason-coyle,522,2,23981076,9,29,12,5,11,7,22,6,20,6,14,9,30
jason-deamer,293,0,6930649,15,38,10,0,100,0,0,0,25,16,41,15,38
jason-warren,557,1,18714643,12,34,14,2,6,6,20,12,22,8,26,12,35
jean-dubois,52,0,3043071,11,31,4,0,0,33,100,0,14,11,11,11,32
jeff-englebrecht,424,0,7006048,9,29,4,,,0,28,0,8,11,23,9,29
jenny-graham,258,0,5878270,13,39,12,0,0,100,100,0,66,18,45,13,39
jeremy-gask,250,0,4593721,12,36,6,0,18,0,22,0,23,6,26,12,37
jeremy-sylvester,238,1,5230281,7,25,4,50,50,0,0,0,0,0,8,7,25
jerome-hunter,232,0,6692902,12,33,26,0,42,33,50,20,40,12,24,12,33
jessie-constantine,7,0,189589,5,12,10,,,,,,,,,5,12
jim-conlan,241,5,10229308,13,38,12,6,23,13,26,9,22,11,35,14,40
jim-lee,170,0,5334832,6,22,12,0,0,0,11,12,22,13,21,5,22
jim-wallace,24,4,1626060,28,51,28,22,38,25,58,0,0,14,28,35,62
jody-thompson,96,0,1608241,8,28,6,,,,,,,,,8,28
joe-cleary,387,0,6387974,12,35,8,0,0,0,0,0,0,6,12,12,35
john-bannister,37,0,1043382,4,19,12,,,,,,,,,4,19
john-blacker,1084,0,17080972,10,33,8,0,0,50,50,3,13,6,28,11,33
john-hawkes,4567,99,258519759,16,41,16,8,27,11,34,11,32,12,33,17,44
john-leek-(jnr),179,0,3379412,15,36,16,0,0,0,0,0,0,7,15,15,37
john-macmillan,282,0,5999354,9,30,8,,,0,0,0,0,1,11,9,31
john-mcardle,576,2,18265632,11,34,2,5,12,6,15,8,24,6,25,11,35
john-moloney,573,0,18886533,11,32,8,0,6,2,21,1,18,6,15,11,33
john-oshea,1772,29,119909622,17,45,16,7,25,12,32,11,36,14,38,19,48
john-pascoe,29,0,1038707,12,35,14,0,0,0,0,,,0,0,12,37
john-price,363,0,9421695,11,36,2,0,0,15,15,7,28,10,32,11,36
john-sadler,577,3,25374500,15,39,16,4,20,10,21,16,26,4,19,16,41
john-salanitri,311,1,8712839,10,30,4,5,23,0,17,4,20,4,15,10,30
john-sargent,424,5,24802334,12,35,10,3,14,9,32,8,26,10,27,13,37
john-sprague,249,0,3730948,11,33,2,,,,,0,0,,,11,33
john-steinmetz,96,0,2520063,8,25,6,0,0,0,0,0,50,0,0,8,25
jon-oconnor,360,0,9135548,11,34,10,0,0,0,0,6,19,5,18,11,34
jonny-field,9,0,357740,11,34,12,,,,,0,100,0,100,12,32
joseph-burges,25,0,987170,9,33,10,,,,,,,,,9,33
joseph-ible,105,0,2546970,12,34,18,,,,,0,0,0,0,12,34
joseph-obrien,22,5,17069314,18,47,20,12,33,16,55,27,59,21,64,25,41
joseph-pride,1191,18,84461103,15,39,14,9,27,14,32,12,32,12,35,15,40
josh-julius,43,0,1868719,9,31,2,0,0,50,50,0,9,0,55,10,31
julie-richards,73,0,1618311,12,33,10,0,33,0,25,6,15,3,12,14,37
julie-scott,127,0,2749044,10,29,8,0,20,16,16,0,25,50,66,10,28
julien-welsh,67,0,1752821,10,27,6,0,0,,,0,0,0,11,10,27
julius-sandhu,74,0,4552265,11,31,18,0,25,11,11,12,50,0,20,11,32
justin-bowen,29,0,908445,6,23,14,,,,,,,,,6,23
kacy-fogden,122,0,6191024,15,43,8,0,40,25,37,5,10,0,7,16,45
kasey-keys,11,0,359780,10,30,12,,,,,0,0,0,100,10,30
kathryn-durden,166,0,4551594,9,28,10,0,0,,,0,0,0,11,9,29
katrina-alexander,18,2,1173104,22,55,26,15,46,16,33,25,50,20,80,25,57
keith-dryden,767,0,16277610,13,35,22,0,25,16,25,4,22,12,29,13,36
kelly-purdy,53,0,1214160,8,28,10,0,0,0,0,0,0,4,18,8,28
kelvin-bourke,182,0,3361079,10,28,14,,,0,33,0,0,0,20,10,28
ken-elford,126,0,1550050,6,22,14,,,0,0,0,0,18,27,6,22
ken-kelso,20,8,2766767,22,46,24,21,44,12,37,27,45,33,100,24,44
ken-keys,428,0,14513367,9,29,6,0,17,7,9,6,14,8,19,9,30
kerry-parker,368,3,19476496,9,30,10,7,34,20,37,14,29,4,22,9,30
kerry-taplin,10,0,673325,8,27,6,0,0,25,25,0,0,0,33,8,29
kerry-weir,251,0,2984819,8,28,14,,,,,,,0,0,8,28
kevin-corstens,136,0,5564757,9,30,6,0,8,4,17,5,26,0,10,9,31
kim-waugh,626,1,22423038,13,37,10,5,15,3,16,8,25,5,28,13,38
kris-lees,2597,17,117675291,14,39,8,5,24,6,31,7,27,10,30,15,41
kristen-buchanan,274,0,8638511,12,34,20,0,0,9,27,0,25,0,21,13,35
kurt-goldman,134,0,5257908,11,32,16,0,11,0,0,17,29,13,23,11,33
kylie-gavenlock,307,0,5942502,9,31,14,0,50,0,0,0,0,8,25,9,31
kylie-kennedy,177,0,2135035,8,25,6,,,,,,,0,0,8,25
kylie-vella,77,0,2198267,14,43,18,,,0,50,0,100,16,66,14,43
kym-hann,126,0,2640394,13,35,14,,,0,0,0,0,0,33,14,36
lance-noble,19,1,721719,22,59,28,8,16,30,50,12,50,14,71,27,72
lance-osullivan,51,5,3602508,22,54,20,11,24,17,34,8,33,15,23,32,78
lauri-parker,35,0,1542380,7,26,6,,,,,0,0,25,50,7,26
lee-creek,133,0,2477820,10,31,10,0,33,0,0,7,23,19,42,10,31
lee-curtis,199,2,8264427,10,32,4,6,31,7,29,4,21,6,22,11,33
lee-hope,532,1,12345377,11,35,4,5,25,10,37,14,36,5,19,11,35
leon-corstens,922,9,38267331,12,34,14,8,19,5,20,8,30,6,22,12,35
leon-macdonald,1276,11,48972121,13,38,16,6,25,9,26,10,29,9,28,14,40
les-bridge,361,3,33833053,12,35,20,7,47,16,48,12,31,23,38,12,35
levi-kavanagh,32,0,2231571,11,36,4,0,0,0,0,0,30,18,37,11,37
liam-howley,48,2,5977437,9,29,6,7,19,13,33,11,17,10,36,9,29
lindsey-smith,1222,11,45444458,17,41,12,14,26,13,32,10,36,11,30,18,43
lisa-jones,11,0,252000,6,24,4,,,0,0,,,0,0,6,25
lloyd-kennewell,460,2,17088096,13,38,6,10,20,3,7,8,27,4,22,14,40
lou-luciani,700,2,21987661,12,35,12,6,27,13,25,3,16,10,31,12,36
lou-mary,36,0,1102787,13,33,18,,,,,,,0,0,13,33
lucinda-boyd,5,0,113035,13,21,13,,,,,,,,,13,21
lucy-keegan-attard,23,0,952252,13,32,12,,,,,,,0,33,13,32
lucy-longmire,46,0,1316505,7,25,14,,,,,,,0,0,7,26
luke-cerchi,3,0,136275,14,33,14,,,,,0,0,0,0,15,36
luke-clarke,15,0,482805,11,26,12,,,,,0,0,,,11,26
luke-fernie,98,0,4960910,11,32,12,0,0,0,10,0,9,6,25,12,35
luke-morgan,78,0,1090550,17,42,8,,,,,,,,,17,42
luke-oliver,645,0,16278074,12,35,6,0,0,0,28,3,23,6,28,12,35
luke-pepper,278,0,5544270,14,39,20,0,0,0,33,0,0,20,30,14,39
luke-price,149,0,9073417,8,30,18,0,16,14,42,0,33,11,33,8,30
lyle-chandler,24,0,1055495,12,40,20,,,,,,,0,50,12,40
lyn-shand,18,0,525106,4,21,6,,,,,,,,,4,21
lyn-tolson,206,0,5782841,8,28,14,0,0,0,50,0,0,5,23,8,28
lynne-morrison,12,0,196895,6,20,4,,,,,,,0,0,6,20
mack-griffith,494,0,6280146,12,35,24,,,0,0,12,50,4,14,12,35
maddie-raymond,53,0,3017801,13,31,10,0,0,14,57,13,26,15,15,13,32
marc-chevalier,8,0,401005,7,27,8,,,0,0,0,0,20,20,6,28
marc-conners,427,1,13499179,9,30,10,4,16,2,15,5,15,8,24,9,30
marc-quinn,187,0,3207755,12,38,12,,,,,0,0,11,22,12,38
marco-botti,9,0,2303172,24,45,22,0,25,28,28,50,50,20,60,37,87
mark-c-webb,203,0,7171674,6,22,16,0,8,10,20,0,7,5,17,6,22
mark-cross,20,0,542775,6,22,4,,,,,,,,,6,22
mark-gee,93,0,2074583,11,32,10,,,,,,,0,0,11,32
mark-jones,203,0,1641725,14,39,14,,,,,0,0,0,25,14,39
mark-kavanagh,1067,21,50502213,15,39,12,13,34,18,40,16,33,10,30,16,40
mark-mason,489,0,4323983,16,40,14,,,,,,,0,0,16,40
mark-milton,170,0,2385293,7,30,8,,,,,,,,,7,30
mark-minervini,434,0,9535155,12,34,12,0,22,6,21,5,20,6,22,13,35
mark-newnham,420,4,29014355,17,45,20,6,22,13,23,9,34,16,35,18,49
mark-pegus,20,0,658842,9,34,6,,,,,,,,,9,34
mark-stephenson,73,0,1293442,8,29,,,,0,0,,,0,0,8,29
mark-stewart,42,0,916495,12,32,8,,,,,,,,,12,32
mark-walker,126,21,10853436,26,55,30,18,45,28,48,10,41,27,51,32,64
martin-gray,2,0,59830,5,26,5,,,,,,,,,5,26
mathew-ellerton,1507,18,73144964,12,36,12,8,21,8,33,9,30,10,32,12,37
matt-cumani,321,0,14892354,12,35,8,0,14,0,26,2,18,9,31,12,36
matt-laurie,498,2,18716462,13,39,12,15,23,2,11,7,16,7,24,14,40
matthew-brown,108,0,4782665,8,28,6,0,0,14,14,7,21,0,14,8,29
matthew-dale,764,0,18795724,18,44,12,0,29,6,33,3,15,10,24,19,45
matthew-dunn,1131,0,32918782,16,40,16,0,0,11,23,4,17,2,17,16,41
matthew-kelley,17,0,579290,11,27,4,,,,,,,,,11,27
matthew-lindsay,9,0,386723,9,32,10,,,,,0,0,,,9,32
matthew-robinson,129,0,2117597,7,26,4,,,,,,,,,7,26
matthew-smith,661,5,30556842,12,35,20,9,25,6,31,5,25,7,18,12,36
matthew-williams,452,0,13398496,10,33,14,0,10,0,10,13,58,5,7,10,33
melanie-ogorman,76,0,2221239,10,30,14,,,,,0,0,0,0,10,30
melody-cunningham,123,0,2076914,8,27,10,,,0,0,0,0,0,0,8,27
mervyn-mckenzie,46,0,965479,9,24,4,,,,,,,0,0,9,24
michael-freedman,230,5,20108112,17,44,22,15,25,8,33,11,33,14,33,18,46
michael-hickmott,322,0,9119864,15,41,30,,,0,16,11,22,4,28,16,41
michael-huglin,59,0,1998342,11,31,12,,,,,,,0,0,11,31
michael-kent,930,3,35233035,14,40,14,3,20,5,20,8,23,8,29,15,42
michael-krikas,2,0,56620,4,11,4,,,,,,,,,4,11
michael-lunn,80,0,1505914,4,20,4,,,,,,,,,4,20
michael-mehegan,33,0,1092945,8,25,8,0,0,0,100,25,25,0,16,8,25
michael-moroney,1933,45,91848030,13,37,6,7,24,6,27,8,25,10,29,14,40
michael-morrison,22,0,749500,9,32,4,,,,,0,0,0,0,9,32
michael-mulholland,182,0,3028511,11,33,18,,,,,,,0,0,11,33
michael-oleary,908,0,11062786,17,44,18,0,14,0,16,23,42,17,35,17,44
michael-ryan,29,0,820608,6,26,4,0,0,0,0,0,0,0,16,6,26
michael-shepherdson,8,0,322965,5,23,6,,,,,,,0,0,5,23
michael-templeton,80,0,1615584,6,21,12,0,0,0,16,0,0,0,0,6,21
michael-travers,27,0,755875,8,27,20,,,,,,,,,8,27
michael-trotter,57,0,1730948,7,25,8,,,0,0,0,0,0,16,7,26
michelle-fleming,66,0,1387277,7,23,6,,,,,,,,,7,23
michelle-payne,55,0,1910322,10,29,16,0,0,0,20,0,16,0,0,11,30
michelle-ritchie,34,0,1130820,9,32,14,,,,,0,0,0,50,10,32
mick-attard,132,0,1667635,11,34,8,,,,,,,,,11,34
mick-bell,67,0,2709633,9,26,16,0,17,0,30,33,75,10,15,9,25
mick-cerchi,291,0,6241870,8,28,10,0,0,12,25,0,6,0,14,8,29
mick-price,2760,44,142189448,16,41,10,9,26,10,32,12,32,11,32,17,43
mick-sell,151,0,3655328,8,27,6,,,0,0,20,20,0,30,8,27
mick-smith,129,0,2028930,9,30,10,,,0,0,0,0,0,0,9,30
mike-cattell,2,0,226980,1,8,,,,0,0,0,0,0,0,1,8
mike-van-gestel,57,0,1683477,9,31,16,0,0,0,25,20,50,0,20,9,31
mitchell-beer,206,0,5648447,12,34,6,0,0,,,0,0,5,10,12,35
mitchell-freedman,263,0,9716757,12,37,18,0,57,5,23,5,27,7,26,13,37
mitchell-kearney,54,0,1827615,6,22,2,0,0,,,0,0,0,0,6,22
mitchell-leek,3,0,138352,17,47,17,,,,,,,,,17,47
monica-croston,36,0,982189,5,22,2,,,0,0,0,0,0,0,5,23
natalie-jarvis,146,0,3275004,10,31,6,,,,,,,0,0,10,31
nathan-doyle,218,0,6689665,17,40,26,,,0,0,0,12,0,25,17,41
nathan-dunn,37,0,1228017,10,28,8,,,,,0,0,,,10,28
nathan-hobson,266,0,5819117,8,28,4,,,,,,,0,0,8,28
nick-harnett,96,0,2790823,8,29,14,,,,,0,16,0,28,8,29
nick-olive,696,1,15014321,14,38,6,5,26,5,36,12,37,8,24,14,38
nick-ryan,156,0,9258924,15,41,8,0,7,6,33,0,14,9,32,16,43
nigel-blackiston,417,4,16539458,10,32,10,5,18,11,32,5,26,7,23,10,32
nikki-burke,296,0,6736431,11,34,18,0,28,16,33,8,16,11,22,11,34
noel-watson,26,0,477196,5,22,8,,,,,,,0,0,5,22
norm-gardner,231,0,4937292,9,31,6,0,0,0,0,0,0,4,20,9,31
norman-rogers,22,0,393805,10,28,8,,,,,0,0,,,10,28
oopy-macgillivray,65,0,2030585,17,45,10,0,0,0,0,0,11,17,43,17,47
paddy-payne,114,0,1810656,10,31,10,0,33,0,14,0,16,8,20,11,31
pat-cannon,34,0,992048,7,29,10,,,,,,,,,7,29
pat-carey,487,5,21044119,9,29,12,9,14,2,17,2,10,6,22,9,30
pat-farrell,442,0,6201685,7,24,2,0,0,0,0,6,6,12,25,7,24
pat-murphy,21,0,557090,11,28,14,,,,,,,0,0,11,28
patrick-caboche,22,0,648517,4,21,2,,,0,0,0,0,0,0,4,21
patrick-f-ryan-jnr,88,0,2647542,10,33,16,0,0,0,0,0,14,9,18,10,34
patrick-keane,25,0,817927,6,21,4,,,,,,,0,0,6,21
patrick-kearney,16,0,538204,11,40,10,,,,,0,0,0,25,12,41
patrick-payne,1051,5,48994166,16,44,20,15,34,13,36,10,31,12,34,17,45
paul-anthony-jones,434,0,10778590,10,32,4,0,0,0,0,0,14,5,20,10,32
paul-cave,324,0,10047914,11,33,6,0,14,16,24,8,40,12,31,11,33
paul-koumis,18,0,464535,6,24,10,0,0,,,0,0,0,0,6,24
paul-messara,505,4,15036152,21,48,30,8,22,4,23,15,32,10,30,23,50
paul-murray,224,0,6337485,10,33,12,0,26,14,42,5,15,4,20,10,34
paul-niceforo,16,0,443370,10,30,4,,,,,0,0,,,10,31
paul-perry,2317,10,55775803,10,31,10,7,21,8,25,7,20,6,23,10,32
paul-preusker,556,1,15587459,12,33,14,7,7,13,20,5,21,9,23,12,34
paul-rocke,54,0,1355997,8,22,10,0,0,0,0,0,0,0,14,8,22
paul-shailer,52,0,1177027,16,38,18,0,0,,,,,,,16,38
paul-snowden,1202,20,123294726,16,42,10,8,26,11,33,11,31,13,36,17,45
peter-blanch,191,0,3420088,15,41,12,0,0,0,0,8,25,3,35,16,41
peter-burgun,102,0,1483273,9,29,10,,,,,0,0,0,0,9,29
peter-g-moody,2803,60,145614688,18,43,10,10,25,10,32,11,30,11,34,19,46
peter-gelagotis,387,3,16804770,12,33,10,6,16,15,36,11,25,12,28,12,33
peter-graham,10,0,293145,7,32,8,,,,,,,,,7,32
peter-h-bloomfield,106,0,1787700,9,28,,,,,,,,0,50,10,28
peter-hardacre,165,0,3619154,13,37,10,,,0,0,0,0,0,9,13,38
peter-j-morgan,112,0,1268598,13,42,14,,,,,,,0,0,13,42
peter-jolly,183,0,3928322,14,41,10,0,0,14,28,7,28,9,29,15,44
peter-lafferty,26,0,567464,8,26,8,0,0,0,0,0,0,0,0,8,26
peter-maher,226,0,3536481,9,29,2,,,0,0,0,33,0,0,9,29
peter-robl,85,0,4169713,11,37,16,0,0,0,0,0,0,11,35,12,39
