race_course,race_no,date,horse_name,r1_l8,r2_l8,r3_l8,r4_l8,r5_l8,r1_l6,r2_l6,r3_l6,r4_l6,r5_l6,r1_l4,r2_l4,r3_l4,r4_l4,r5_l4,r1_l2,r2_l2,r3_l2,r4_l2,r5_l2
caulfield,2,2022-01-08,Blandford Lad,-1.07,0,-2.1,0,-2.88,-1.27,0,-1.12,0,-2.54,-0.1,0,-0.92,0,-1.47,0.18,0,-0.36,0,-0.24
caulfield,2,2022-01-08,The Awesome Son,0,-0.92,-2.23,-0.61,0,0,-1.04,-1.56,-0.1,0,0,-0.61,-1.62,0.38,0,0,0.04,-0.57,0.34,0
caulfield,2,2022-01-08,Brilliant Venture,-0.75,0.18,-1.99,-1.46,0,-0.95,0.69,-1.16,-0.96,0,0.22,1.13,-0.92,-0.15,0,0.34,0.9,-0.24,0.41,0
caulfield,2,2022-01-08,Coup De Tonnerre,-1.09,-0.23,0,-1.05,1.24,-0.58,-0.15,0,-0.13,0.75,0.28,0.05,0,0.52,0.44,0.56,0.21,0,0.45,0.4
caulfield,2,2022-01-08,Ruru,-1.19,-1.89,-1.3,-2.14,-0.18,-1.39,-1.5,-0.93,-1.9,0.07,-0.18,-0.92,-0.18,-1.27,0.57,0.02,0.12,0.15,-0.21,0.69
caulfield,2,2022-01-08,Salto Angel,0.48,0.29,0,-0.94,0.92,-0.04,-0.28,0,-0.46,1.2,0.26,-0.17,0,0.21,1.55,0.28,0.21,0,0.02,1.74
caulfield,2,2022-01-08,Packer's Bond,-0.08,0.85,0,0.26,-0.8,0.12,1.1,0,0.15,-2.01,0.23,1.42,0,-0.02,-1.13,0.25,0.73,0,-0.11,-0.64
caulfield,2,2022-01-08,Eaton,0,-0.74,1.16,0.62,-2.11,0,-0.17,1.47,0.98,-2.8,0,0.06,1.17,1.05,-1.32,0,0.05,0.69,1.03,-0.13
caulfield,2,2022-01-08,Set Us Free,0,0.09,-0.96,-1.88,0,0,0.1,-0.41,-1.29,0,0,0.18,-0.78,-0.41,0,0,0.6,-0.46,0.16,0
caulfield,2,2022-01-08,Silence The Stars,-2.42,0,1.53,0.49,0,-1.48,0,1.83,0.93,0,-0.68,0,1.52,1.2,0,0.02,0,0.7,1.01,0
caulfield,3,2022-01-08,Lavish Girl,0,-1.28,-0.48,-0.06,-0.76,0,-1.69,-0.87,-0.1,-1.05,0,-1.42,-0.03,-0.42,-1.04,0,-0.72,0.31,-0.39,-0.61
caulfield,3,2022-01-08,Luna Cat,0,0.02,-0.56,2.78,-0.16,0,0.25,-0.06,3.02,-0.37,0,0.23,0.33,3.72,-0.75,0,0.42,0.61,3.62,-0.34
caulfield,3,2022-01-08,Jagar,0,0.43,-1.9,0,-1.52,0,-0.4,-1.78,0,-1.96,0,-0.21,-0.67,0,-0.93,0,0.24,-0.08,0,-0.4
caulfield,3,2022-01-08,Russians,0.13,-2.73,0,0,0,0,-2.94,0,0,0,-0.9,-2.23,0,0,0,-0.41,-1.01,0,0,0
caulfield,3,2022-01-08,Rioyuki,-1.31,-2.45,-1.5,-2.08,0,-1.36,-2.02,-1.03,-1.5,0,-1.47,-0.83,-0.85,-1.45,0,-1.08,-0.18,-0.43,-1.18,0
caulfield,3,2022-01-08,Throntari,-0.87,0.17,-1.09,0,0,-0.92,-0.19,-1.59,0,0,-0.99,0.09,0.03,0,0,-0.56,0.61,0.71,0,0
caulfield,3,2022-01-08,Sister Vianney,-2.9,-2.04,0.06,-0.68,0,-1.79,-1.59,-0.27,-0.87,0,-1.17,-1.5,-0.71,-0.97,0,-0.68,-0.24,0.02,-0.36,0
caulfield,3,2022-01-12,First Division,-1.64,0.31,0,0,0,-1.34,0.78,0,0,0,-1.07,0.63,0,0,0,-0.1,0.7,0,0,0
caulfield,3,2022-01-12,Jillette,0,-1.59,0.83,0,0,0,-0.62,1.06,0,0,0,-0.89,0.47,0,0,0,0.17,0.22,0,0
caulfield,3,2022-01-12,Minouche,-0.5,-1.26,0,0,0,-0.94,-1.37,0,0,0,-0.95,-1.67,0,0,0,-0.34,-0.96,0,0,0
caulfield,3,2022-01-12,Wanaroo,0,-1.19,0.16,-2.33,-0.22,0,-1.57,0.42,-1.91,-0.64,0,-1.28,0.46,-1.4,-0.55,0,-0.34,0.34,-0.21,-0.08
caulfield,3,2022-01-12,Irish Mist,0,0.52,0.76,-0.58,0.14,0,-0.31,1.17,0,-0.67,0,-0.2,1.02,0.66,-1.15,0,0.19,0.87,0.65,-0.54
caulfield,3,2022-01-12,Live In Hope,-0.86,-0.28,-0.11,-0.37,0,-0.82,-0.14,0.1,-0.72,0,-0.34,0.14,-0.04,-0.87,0,-0.17,0.59,0.42,-0.47,0
caulfield,3,2022-01-12,No Crying,-0.4,-0.65,-0.73,0.86,-1.46,-0.18,-1.32,-0.7,0.2,-2.03,0.09,-1.21,-0.88,-0.3,-0.37,-0.08,-0.28,-0.38,-0.39,-0.31
caulfield,2,2022-01-12,Guardian Spirit,-0.57,-1.38,-1.34,-0.82,-0.42,-0.46,-1.15,-1.8,-1.13,-1.58,0.09,-1.39,-1.47,-0.51,-0.73,0.35,-0.3,-0.82,-0.01,-0.34
caulfield,2,2022-01-12,Danny's St Darci,-0.75,0.74,-1.78,-0.76,-0.11,-0.84,0.79,-2,-0.71,0.07,-0.87,0.81,-1.99,-0.42,0.62,-0.68,0.44,-1.46,-0.13,1.53
caulfield,2,2022-01-12,Abrazen Laugh,0,-1.01,-0.58,-1.75,0.01,0,-1.1,-0.15,-1.73,-0.25,0,-0.8,0.26,-1.53,0.58,0,-0.15,0.65,-0.61,0.96
caulfield,2,2022-01-12,V'invincible,-1.04,-1.02,-0.35,0,0,-0.42,-0.71,-1.16,0,0,0.1,-0.83,-0.79,0,0,0.2,-0.04,-0.38,0,0
caulfield,2,2022-01-12,He's The Ultimate,-2.18,-0.51,0,-1.03,-0.4,-1.59,-0.94,0,-0.71,-0.06,-1.41,-0.7,0,-0.09,0.07,-0.1,-0.26,0,0.38,0
caulfield,2,2022-01-12,Rusheen,-0.66,0.67,-0.59,-0.9,-0.73,-0.38,-0.18,-0.36,-0.35,-0.13,-0.15,0.03,-1.54,-0.54,0.49,0.19,0.42,-0.62,0.01,0.64
caulfield,2,2022-01-12,Ghumaama,0,-0.46,0,0,0,0,-1.13,0,0,0,0,-0.56,0,0,0,0,-0.06,0,0,0
caulfield,1,2022-01-12,Celtic Lightning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caulfield,1,2022-01-12,No Diggity,-1.23,0,0,0,0,-1.05,0,0,0,0,-0.56,0,0,0,0,-0.06,0,0,0,0
caulfield,1,2022-01-12,New York Scandal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caulfield,3,2022-01-26,Jillette,0,0,-1.59,0.83,0,0,0,-0.62,1.06,0,0,0,-0.89,0.47,0,0,0,0.17,0.22,0
caulfield,3,2022-01-26,Asfoora,-1.47,-2.36,0,0,0,-1.33,-2.58,0,0,0,-1.48,-1.87,0,0,0,-0.38,-1.14,0,0,0
caulfield,3,2022-01-26,For Real Life,-0.58,1.38,-1.1,-1.84,-1.21,-0.67,1.45,-1.26,-3.02,-0.89,-0.58,1.45,-1.23,-1.78,0.15,-0.31,1.14,-0.7,-0.56,0.26
caulfield,3,2022-01-26,Ghumaama,0,0,-0.46,0,0,0,0,-1.13,0,0,0,0,-0.56,0,0,0,0,-0.06,0,0
caulfield,3,2022-01-26,Suricate,0.59,0,0,0,0,-0.48,0,0,0,0,-0.81,0,0,0,0,-0.72,0,0,0,0
caulfield,3,2022-01-26,Shiriki,0,1.06,0.84,0,0,0,0.35,0.75,0,0,0,-0.24,0.98,0,0,0,-0.22,1.01,0,0
caulfield,3,2022-01-26,No Crying,0,-0.4,-0.65,-0.73,0.86,0,-0.18,-1.32,-0.7,0.2,0,0.09,-1.21,-0.88,-0.3,0,-0.08,-0.28,-0.38,-0.39
caulfield,1,2022-01-26,Philosopher,-0.92,0,0,0,0,-0.54,0,0,0,0,-0.35,0,0,0,0,-0.14,0,0,0,0
caulfield,1,2022-01-26,Rampant Lion,-1.64,0,0,0,0,-1.27,0,0,0,0,-0.26,0,0,0,0,0.3,0,0,0,0
caulfield,2,2022-01-26,Latizia,-1.6,0,0,0,0,-2.14,0,0,0,0,-1.51,0,0,0,0,-0.94,0,0,0,0
caulfield,2,2022-01-26,Satin Love,0.42,0,0,0,0,-0.39,0,0,0,0,0.12,0,0,0,0,0.28,0,0,0,0
caulfield,2,2022-01-26,Bistro,0,0,0,0,0,-0.78,0,0,0,0,-0.51,0,0,0,0,-0.02,0,0,0,0
caulfield,2,2022-01-26,Jewellery,-1.52,0,0,0,0,-1.02,0,0,0,0,-0.95,0,0,0,0,-0.46,0,0,0,0
caulfield,2,2022-01-26,Poiema,-0.56,0,0,0,0,-0.3,0,0,0,0,-0.19,0,0,0,0,-0.1,0,0,0,0
caulfield,1,2022-02-05,El Patroness,-0.9,-0.98,-1.05,-2,-3.09,-0.8,-0.22,-0.69,-2.24,-2.97,0.18,0.32,0.26,-1.78,-2.49,0.49,0.48,0.56,-0.56,-1.11
caulfield,1,2022-02-05,Mingora,-0.99,0.21,-0.07,-0.25,0,-0.62,0.06,0.27,-0.27,0,-0.13,0.24,0.36,-0.52,0,-0.16,0.09,-0.02,-0.27,0
caulfield,1,2022-02-05,Minouche,0,-0.5,-1.26,0,0,0,-0.94,-1.37,0,0,0,-0.95,-1.67,0,0,0,-0.34,-0.96,0,0
caulfield,1,2022-02-05,Throntari,0.86,-2.07,-1.34,-0.87,0.17,0.5,-2.06,-1.62,-0.92,-0.19,0.41,-1.33,-1.11,-0.99,0.09,0.64,-0.36,-0.33,-0.56,0.61
caulfield,1,2022-02-05,Let's Say Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caulfield,1,2022-02-05,Ruby Mockingbird,-1.42,-2.25,-1.65,-0.52,0.75,-1.48,-2.3,-1.26,-0.3,0.47,-0.47,-1.09,-1.11,0.26,0.44,0.12,-0.21,-0.13,0.3,0.42
caulfield,3,2022-02-05,Look Closely,-2.9,0,0.14,-3.03,2.05,-2.51,0,0.26,-2.36,2.9,-1.7,0,0.65,-1.93,3.3,-0.55,0,0.69,-0.67,2.47
caulfield,3,2022-02-05,Dirty Deeds,-1.28,-1.69,-1.64,0,0.02,-0.85,-1.48,-1.49,0,0.09,-0.69,-1.17,-0.65,0,0.09,-0.4,-0.53,-0.17,0,0.06
caulfield,3,2022-02-05,Brilliant Venture,-3.24,-0.75,0.18,-1.99,-1.46,-2.24,-0.95,0.69,-1.16,-0.96,-1.92,0.22,1.13,-0.92,-0.15,0.2,0.34,0.9,-0.24,0.41
caulfield,3,2022-02-05,Kings Full,-1.14,-0.27,-1.73,-1.92,-2.76,-0.75,0.23,-1.58,-1.25,-2.5,-0.55,0.69,-0.54,-0.63,-1.59,-0.28,0.56,-0.14,0.14,-0.46
caulfield,3,2022-02-05,Midas Prince,-2.74,0,0.45,-0.75,0,-2.41,0,0.61,-0.2,-1.86,-1.34,0,0.84,-0.17,-1.04,-0.27,0,0.76,0.15,0.1
caulfield,3,2022-02-05,Swelter Magic,-2.16,-1.05,1.24,-0.15,-1.86,-1.54,-0.8,1.52,-0.11,-2.2,-0.62,-0.49,1.63,0.37,-1.67,-0.25,-0.13,1.27,0.77,-0.67
caulfield,3,2022-02-05,Salto Angel,-1.68,-3.12,0.48,0.29,0,-1.06,-2.14,-0.04,-0.28,0,-0.14,-2.04,0.26,-0.17,0,-0.01,-0.12,0.28,0.21,0
caulfield,3,2022-02-05,Lost Impact,-1.92,-1.33,0.44,-1.92,-0.61,-1.3,-1.76,0.71,-1.33,0.02,-0.46,-1.13,0.53,-0.95,0.57,-0.17,-0.32,0.49,0.09,0.26
caulfield,3,2022-02-05,Miss Five Hundred,-0.91,-2.59,-1.25,-0.54,-1.5,-1.28,-1.61,-0.86,-0.87,-1.62,-0.19,-0.85,0.08,-0.73,-1.71,0.16,-0.03,0.64,-0.12,-0.69
caulfield,2,2022-02-05,Flandersrain,-2.24,-0.21,-1.42,-0.55,-1.58,-2.52,-0.79,-0.91,-1.75,-1.89,-1.7,-0.28,-0.4,-0.94,-1.21,-0.56,0.06,0.25,-0.49,-0.31
caulfield,2,2022-02-05,Irish Butterfly,-1.45,-0.95,-1.96,0,-1.22,-1.92,-0.79,-1.07,0,-1.05,-1.17,-0.3,-1.06,0,-0.43,-0.5,-0.16,-0.4,0,0.14
caulfield,2,2022-02-05,The Regiment,-0.16,-1.51,0,-0.28,-1.93,0.55,-1.16,0,0,-0.94,1.15,-0.81,0,0.03,-0.88,0.8,-0.21,0,0.09,-0.47
caulfield,2,2022-02-05,Aesop,-2.36,0,0,0,0,-2.36,0,0,0,0,-1.04,0,0,0,0,-0.54,0,0,0,0
caulfield,2,2022-02-05,Sign Seal Deliver,1.16,1.14,-1.39,0.63,0,0.34,0.84,-1.64,0.24,0,0.63,1,-0.44,0.73,0,0.75,0.41,0.25,0.27,0
caulfield,2,2022-02-05,Vardani,-2.16,-2.41,-1.57,0,3.3,-2.22,-2.3,-0.67,0,3.87,-0.76,-1.14,-0.34,0,3.73,-0.02,-0.36,-0.18,0,2.07
caulfield,2,2022-02-05,Hasseltoff,-2.92,-2.19,-2.57,0.22,-0.54,-2.84,-1.88,-2.26,0.17,-0.14,-1.48,-1.02,-1.26,0.78,-0.06,-0.58,-0.78,-0.4,0.56,0.2
caulfield,2,2022-02-05,Angel Rock,-1.74,-1.39,-0.6,-1.39,-0.77,-1.44,-1.01,-0.74,-1.21,-0.33,-0.78,-0.54,-0.77,-0.54,0.11,-0.1,-0.1,-0.49,0.02,0.1
caulfield,2,2022-02-05,Perennial,-2.18,0,0,-0.15,-3.37,-2.22,0,0,-0.06,-3.23,-1.34,0,0,0.29,-1.71,-0.36,0,0,0.43,-0.8
caulfield,2,2022-02-05,Worthily,-2.24,0,0,0,0,-2.02,0,0,0,0,-1.25,0,0,0,0,-0.35,0,0,0,0
caulfield,2,2022-02-12,Coastwatch,-1.98,0,-2.4,0,-1.6,-1.62,0,-2,0,-1.8,-0.86,0,-1.53,0,-1.48,0.07,0,-0.62,0,-0.73
caulfield,2,2022-02-12,Spirit Of Gaylard,0,1.08,-2.48,-0.86,0,0,1.11,-3.1,-1.06,0,0,1.24,-1.92,-0.5,0,0,0.74,-0.87,-0.01,0
caulfield,2,2022-02-12,Sharp Response,-1.91,-1.87,0,-1.56,-0.9,-1.61,-1.69,0,-2.06,-0.68,-0.75,-1.36,0,-1.86,-0.47,-0.4,-0.42,0,-0.64,-0.03
caulfield,2,2022-02-12,Prix De Turn,-0.76,-1.09,-1.74,0,0,-1.02,-0.7,-1.91,0,0,-0.42,-0.58,-1.47,0,0,0.08,-0.29,-0.47,0,0
caulfield,2,2022-02-12,Lucky Decision,-1.85,-0.84,0.41,0,0,-2.04,-1.58,0.46,0,0,-0.76,-1.13,0.39,0,0,0.02,-0.16,0.38,0,0
caulfield,2,2022-02-12,Mahrez,-1.83,0,0,0,0,-2.1,0,0,0,0,-2.25,0,0,0,0,-0.93,0,0,0,0
caulfield,2,2022-02-12,Decent Raine,-2.24,0,-1.92,-2.99,-1.04,-2.46,0,-2.33,-2.44,-1.47,-1.95,0,-2.02,-2.33,-0.63,-0.85,0,-0.98,-0.79,-0.11
caulfield,2,2022-02-12,Burning Power,-2.93,-0.71,-2.42,0.3,-0.44,-2.6,-0.34,-1.95,-0.3,-0.45,-1.52,0.34,-0.78,-0.69,-0.38,-0.03,0.46,-0.35,-0.34,-0.28
caulfield,2,2022-02-12,Ninyo,-0.74,1.04,0,0,0,-0.61,0.86,0,0,0,-0.67,0.56,0,0,0,-0.02,-0.16,0,0,0
caulfield,3,2022-02-12,Semillion,1.04,0,0,0,0,1.55,0,0,0,0,1.09,0,0,0,0,0.57,0,0,0,0
caulfield,3,2022-02-12,Daumier,-1.08,0,0,0,0,-0.81,0,0,0,0,-0.95,0,0,0,0,-0.4,0,0,0,0
caulfield,3,2022-02-12,Philosopher,-0.76,-0.92,0,0,0,-0.37,-0.54,0,0,0,-0.63,-0.35,0,0,0,-0.14,-0.14,0,0,0
caulfield,3,2022-02-12,Counttheheadlights,-1.26,0,0,0,0,-1.24,0,0,0,0,-0.91,0,0,0,0,-0.42,0,0,0,0
caulfield,3,2022-02-12,Jacquinot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caulfield,3,2022-02-12,Lofty Strike,0,0,0,0,0,-0.53,0,0,0,0,-0.56,0,0,0,0,0.14,0,0,0,0
caulfield,3,2022-02-12,Lascars,0,-1.56,0,0,0,0,-0.79,0,0,0,0,0.14,0,0,0,0,0.28,0,0,0
caulfield,3,2022-02-12,River Ribble,-1.25,0,0,0,0,-1.04,0,0,0,0,-0.01,0,0,0,0,0.64,0,0,0,0
caulfield,1,2022-02-12,Munitions,0,0,-0.63,0,0,-0.16,0,-0.76,0,0,-0.39,0,-0.35,0,0,0.3,0,0.2,0,0
caulfield,1,2022-02-12,In The Boat,-1.2,-1.11,0,0.45,-0.14,-0.86,-0.57,0,0.7,-0.12,-0.21,-0.36,0,0.72,-0.23,0.1,-0.06,0,0.33,-0.24
caulfield,1,2022-02-12,Fundraiser,-0.32,-2.31,-0.45,-1.47,0,-0.03,-1.43,0.07,-0.88,0,0.3,-1.09,0.61,-0.39,0,0.56,-0.27,0.85,0.25,0
caulfield,1,2022-02-12,Ripper Rita,0.28,-1.42,0,-2.37,-1.21,0.31,-1.82,0,-2.19,-1.72,0.55,-1.18,0,-1.68,-1.27,0.32,-0.28,0,-0.68,-0.64
caulfield,1,2022-02-12,Paperboy,-2.07,0,-1.57,-0.82,-0.8,-1.56,0,-2.09,-0.31,-1.14,-1.54,0,-1.14,0.05,-0.63,-0.79,0,-0.3,0.26,-0.29
caulfield,1,2022-02-12,Unanimous,-1.37,-1.85,-1.71,0,-0.98,-0.9,-1.7,-1.71,0,-1.2,-0.41,-0.88,-1.28,0,-1.43,-0.15,-0.5,-0.22,0,-0.98
caulfield,2,2022-02-26,Rich Hips,-1.66,0,-0.28,-2.23,-1.55,-0.83,0,-0.3,-2.59,-1.3,0.01,0,-0.07,-1.67,-1.12,0.51,0,-0.44,-0.61,-0.5
caulfield,2,2022-02-26,Flying Mascot,-1.78,-1.6,-0.58,-2.18,-0.6,-1.61,-1.38,0.01,-2.39,-0.62,-1.57,-0.38,0.46,-1.15,-0.24,-0.78,0.28,0.21,-0.59,-0.15
caulfield,2,2022-02-26,Kahma Lass,-1.72,-1.29,-1.84,-0.65,-1.53,-1.63,-0.69,-1.36,-0.59,-1.12,-1.31,0.06,-1.25,-0.52,-0.56,-0.58,0.55,-0.58,-0.22,0.01
caulfield,2,2022-02-26,Bonvicini,0,-2.96,-2.57,-2.4,-2.37,0,-2.86,-2.18,-2.01,-1.59,0,-2.38,-0.89,-1.49,-0.25,0,-1.04,-0.11,-0.55,-0.03
caulfield,2,2022-02-26,Under My Spell,-2.76,-3.79,0,-1.07,-0.92,-2.45,-2.97,0,-1.14,-1.81,-1.66,-1.67,0,-0.91,-0.57,-1.07,-0.62,0,-0.17,0.04
caulfield,2,2022-02-26,Galgani,-2.18,-0.84,-0.95,-1.35,-1.46,-1.91,-0.5,-1.27,-0.69,-0.86,-1.08,-0.09,-0.75,-0.27,-0.2,-0.67,0.06,-0.29,0.07,0.18
caulfield,2,2022-02-26,Bound To Win,0,-3.36,-3.52,-2,0,0,-2.88,-2.99,-1.43,0,0,-2.16,-2.73,-1.07,0,0,-0.93,-0.89,-0.18,0
caulfield,1,2022-02-26,Finance Tycoon,0.15,-0.64,-1.32,-0.62,0,0.17,-0.38,-0.87,-0.07,0,-0.12,0.2,-0.9,0.15,0,0.19,0.58,-0.43,0.22,0
caulfield,1,2022-02-26,Generation,-1.56,-0.16,0.36,-0.85,-1.71,-1.43,0.39,0.82,-0.52,-1.47,-1.03,0.45,0.58,-0.34,-1.31,-0.64,0.34,0.6,-0.07,-0.63
caulfield,1,2022-02-26,Chartres,-2.36,0,-0.19,0,0,-2.4,0,-0.02,0,0,-2.43,0,-0.24,0,0,-1.1,0,0.32,0,0
caulfield,1,2022-02-26,Mars Mission,-1,-1.95,0,0,0,-0.71,-2.19,0,0,0,-0.38,-1.8,0,0,0,-0.24,-0.77,0,0,0
caulfield,1,2022-02-26,Mornington Glory,1.52,-0.92,-0.76,0,0,2.27,-0.55,-1.26,0,0,2.29,-0.85,-1.24,0,0,1.7,-0.06,-0.18,0,0
caulfield,3,2022-02-26,Lucky Decision,-1.65,-1.85,-0.84,0.41,0,-1.62,-2.04,-1.58,0.46,0,-1.33,-0.76,-1.13,0.39,0,-0.57,0.02,-0.16,0.38,0
caulfield,3,2022-02-26,Attractable,-1.69,-1.96,-2.08,0.09,0.13,-2.07,-2.26,-1.86,-0.28,-0.28,-1.51,-1.59,-1.35,-0.39,-0.73,0.04,-0.53,-0.16,-0.08,-0.27
caulfield,3,2022-02-26,Castlereagh Kid,-2.41,-0.82,-1.07,0.61,0,-1.97,-0.46,-1.44,-0.16,0,-1.46,-0.34,-0.99,-0.37,0,-0.38,-0.16,-0.23,0.05,0
caulfield,3,2022-02-26,Can't Go Wong,-2.02,-1.69,-0.13,0,0,-2.59,-1.98,-1.29,0,0,-1.54,-1.06,-1.34,0,0,-0.49,0,-0.35,0,0
caulfield,3,2022-02-26,Bon Vivant,-2.67,-3.32,-2.01,-0.33,-1.61,-2.62,-1.81,-1.04,-1.35,-1.72,-2.07,-1.36,-0.68,-1.15,-1,-0.87,-0.32,-0.52,-0.53,-0.28
caulfield,3,2022-02-26,Van Roy,-3.27,-0.31,0.04,-0.06,-1.42,-2.58,-0.21,-0.14,-0.2,-2.04,-1.67,0.03,-0.35,-0.19,-1.19,-0.69,0.25,-0.29,-0.1,0.1
caulfield,3,2022-02-26,Casa Cosmo,1.23,-0.88,-0.91,-1.4,0,1,-1.22,-0.73,-1.56,0,0.87,-1.23,-0.27,-0.14,0,0.62,-0.45,-0.02,0.49,0
caulfield,3,2022-02-26,Perfect Team,0.69,-2.3,-0.39,0,0,0.62,-2.69,-0.75,0,0,0.67,-1.62,-0.48,0,0,0.32,-0.49,-0.26,0,0
caulfield,3,2022-02-26,Footlights,-0.75,-0.89,-1.58,0,-0.39,-1.1,-0.25,-1.49,0,-0.49,-0.75,0.22,-0.74,0,-1,0.07,0.36,-0.15,0,-0.58
caulfield,3,2022-02-26,Mahrez,-1.43,-1.83,0,0,0,-1.46,-2.1,0,0,0,-1.23,-2.25,0,0,0,-0.57,-0.93,0,0,0
caulfield,3,2022-02-26,Savileo,-1.92,0,-0.25,0,0,-1.35,0,-1.04,0,0,-0.7,0,-1.14,0,0,-0.19,0,-0.26,0,0
caulfield,3,2022-02-26,Who Done The Deel,-0.22,0,0,0,0,-0.72,0,0,0,0,-0.72,0,0,0,0,-0.24,0,0,0,0
caulfield,3,2022-02-26,El Patroness,-2.79,-0.9,-0.98,-1.05,-2,-2.58,-0.8,-0.22,-0.69,-2.24,-1.99,0.18,0.32,0.26,-1.78,-1.21,0.49,0.48,0.56,-0.56
caulfield,3,2022-02-26,Ninyo,-1.11,-0.74,1.04,0,0,-1.1,-0.61,0.86,0,0,-0.83,-0.67,0.56,0,0,-0.21,-0.02,-0.16,0,0
caulfield,2,2022-04-09,Five Kingdom,-1.01,-1.71,-1.79,-2.97,-0.51,-0.45,-1.76,-0.89,-2.14,-0.43,0,-1.28,-0.32,-1.5,-0.08,0.51,-0.14,0.05,-0.4,0.36
caulfield,2,2022-04-09,Playoffs,-1.1,-1.54,-2.08,-2.26,-3.13,-0.36,-1.04,-1.49,-1.97,-2.73,0.66,-0.57,-1.25,-1.22,-1.95,0.38,0.05,-0.66,-0.65,-0.35
caulfield,2,2022-04-09,Barry The Baptist,0.14,-0.64,1.66,-2.09,-1.19,0.43,-0.51,1.88,-0.89,-0.99,1.07,-0.12,1.78,-0.01,-0.31,0.96,0.2,1.64,0.26,0.27
caulfield,2,2022-04-09,Savaheat,-2.28,0.1,-0.95,-2.49,-2.41,-1.89,0.08,-0.75,-2.81,-2.56,-1.59,0.66,0.13,-1.8,-1.67,-0.64,0.98,0.76,-0.35,-0.79
caulfield,2,2022-04-09,Deepstrike,0,-0.46,-1.92,-1.18,0,0,-0.43,-2.36,-0.74,0,0,-0.69,-1.64,-0.19,0,0,-0.1,-0.86,0.4,0
caulfield,2,2022-04-09,Pale King,0,0,-2.83,-1.79,0,0,0,-2.18,-1.74,0,0,0,-1.62,-1.75,0,0,0,-0.88,-0.86,0
caulfield,1,2022-04-09,Steel Prince,-1.59,-2.72,-1.67,-1.97,0,-1.44,-2.44,-1.74,-1.56,0,-0.28,-1.86,-0.72,-1.11,0,0.06,-0.74,-0.12,-0.63,0
caulfield,1,2022-04-09,Desert Icon,-1.17,-1.6,-2.16,-1.92,-0.99,-1.09,-1.05,-1.73,-1.55,-1.55,0.26,-0.63,-1.21,-0.88,-0.94,0.52,-0.05,-0.48,0.02,-0.26
caulfield,1,2022-04-09,Saunter Boy,-0.97,0,0,-0.76,0,-0.81,0,0,-0.86,0,-0.55,0,0,-0.65,0,0.12,0,0,0.31,0
caulfield,1,2022-04-09,White Hawk,-0.22,-1.14,-1.67,-0.18,0,-0.02,-1.04,-1.65,0.38,0,0.92,-0.01,-0.49,0.72,0,0.87,0.31,0.03,-0.01,0
caulfield,1,2022-04-09,Maserartie Bay,-1.61,-2.59,-2.46,-1.8,-2.19,-1.53,-2.22,-1.48,-2.03,-1.81,-1.31,-1.15,0.14,-1.28,-0.52,-0.36,-0.48,0.51,-0.39,-0.19
caulfield,3,2022-04-09,Intellective,-2.46,-2.53,-0.08,-0.09,0,-2.45,-3.01,0,0.37,0,-1.13,-2.51,0.09,0.83,0,-0.16,-0.79,0.58,0.72,0
caulfield,3,2022-04-09,Welsh Legend,-1.17,0,-2.76,1.11,-1.8,-1.04,0,-2.43,1.28,-2.07,-0.56,0,-2.07,1.92,-1.31,0.41,0,-1.11,2.67,-0.31
caulfield,3,2022-04-09,Comica,-0.95,-0.55,0.17,-1.15,-1.33,-1.69,-0.93,0.44,-0.85,-1.46,-1.35,-0.63,-0.18,-0.92,-0.81,-0.39,-0.09,0.43,-0.5,-0.27
caulfield,3,2022-04-09,Ocean's Jen,-1.12,-1.77,-1.31,0,-0.86,-1.9,-2.02,-1.41,0,-0.85,-1.58,-1.95,-0.98,0,-0.25,-0.66,-0.6,0.17,0,0.64
caulfield,3,2022-04-09,Splendiferous,-0.39,-1.87,0,-1.56,-2.07,-0.33,-1.14,0,-1.96,-1.54,-0.41,-0.64,0,-1.49,-1.16,-0.06,0.04,0,-0.5,-0.28
caulfield,3,2022-04-09,Vidiano,0,-0.95,1.38,0,-1.55,0,-1.37,1.57,0,-2.19,0,-1.51,2.04,0,-1.93,0,-0.07,1.29,0,-0.81
caulfield,1,2022-04-16,Jamarra,0,-0.47,0,0,-1.24,0,-1.29,-0.29,0,-1.38,0,-0.59,-0.18,0,-1.35,0,0.07,0.26,0,-0.42
caulfield,1,2022-04-16,Gulf Of Lion,-0.83,0,0,0,0,-0.81,0,0,0,0,-0.68,0,0,0,0,-0.06,0,0,0,0
caulfield,1,2022-04-16,Liberty Steps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caulfield,1,2022-04-16,Plus Fours,-0.51,0,0,0,0,-0.4,0,0,0,0,-0.7,0,0,0,0,-0.43,0,0,0,0
caulfield,1,2022-04-16,Social Conscience,0.08,0,0,0,0,0.09,0,0,0,0,-0.28,0,0,0,0,-0.26,0,0,0,0
