track,date
canterbury-park,20211217
canterbury-park,20211221
canterbury-park,20220107
canterbury-park,20220121
canterbury-park,20220128
canterbury-park,20220211
canterbury-park,20220218
canterbury-park,20220225
canterbury-park,20220310
canterbury-park,20220330
canterbury-park,20220406
canterbury-park,20220420
canterbury-park,20220504
canterbury-park,20220525
canterbury-park,20220608
canterbury-park,20220622
canterbury-park,20220707
canterbury-park,20220803
canterbury-park,20220817
canterbury-park,20220901
canterbury-park,20220907
canterbury-park,20220921
canterbury-park,20221005
canterbury-park,20221111
canterbury-park,20221125
canterbury-park,20221129
canterbury-park,20221209
canterbury-park,20221216
canterbury-park,20230101
canterbury-park,20230106
canterbury-park,20230120
canterbury-park,20230201
canterbury-park,20230210
canterbury-park,20230217
canterbury-park,20230224
canterbury-park,20230503
canterbury-park,20230505
canterbury-park,20230524
canterbury-park,20230607
canterbury-park,20230621
canterbury-park,20230626
canterbury-park,20230712
canterbury-park,20230726
canterbury-park,20230801
caulfield,20200104
caulfield,20200125
caulfield,20200201
caulfield,20200208
caulfield,20200222
caulfield,20200314
caulfield,20200404
caulfield,20200411
caulfield,20200418
caulfield,20200509
caulfield,20200530
caulfield,20200627
caulfield,20200711
caulfield,20200725
caulfield,20200815
caulfield,20200829
caulfield,20200919
caulfield,20200926
caulfield,20201010
caulfield,20201014
caulfield,20201017
caulfield,20201216
caulfield,20201226
caulfield,20210102
caulfield,20210113
caulfield,20210126
caulfield,20210130
caulfield,20210206
caulfield,20210220
caulfield,20210403
caulfield,20210410
caulfield,20210417
caulfield,20210424
caulfield,20210508
caulfield,20210529
caulfield,20210626
caulfield,20210710
caulfield,20210724
caulfield,20210814
caulfield,20210828
caulfield,20210918
caulfield,20211009
caulfield,20211013
caulfield,20211016
caulfield,20211127
caulfield,20211226
caulfield,20220108
caulfield,20220112
caulfield,20220126
caulfield,20220205
caulfield,20220212
caulfield,20220226
caulfield,20220409
caulfield,20220416
caulfield,20220423
caulfield,20220507
caulfield,20220528
caulfield,20220625
caulfield,20220709
caulfield,20220723
caulfield,20220813
caulfield,20220827
caulfield,20220917
caulfield,20221008
caulfield,20221012
caulfield,20221015
caulfield,20221126
caulfield,20230624
caulfield,20230708
caulfield,20230722
doomben,20200101
doomben,20200109
doomben,20200116
doomben,20200123
doomben,20200130
doomben,20200219
doomben,20200229
doomben,20200304
doomben,20200311
doomben,20200318
doomben,20200328
doomben,20200404
doomben,20200411
doomben,20200418
doomben,20200422
doomben,20200502
doomben,20200509
doomben,20200513
doomben,20200530
doomben,20200603
doomben,20200610
doomben,20200620
doomben,20200627
doomben,20200701
doomben,20200708
doomben,20200729
doomben,20200808
doomben,20200812
doomben,20200822
doomben,20200826
doomben,20200905
doomben,20200912
doomben,20201010
doomben,20201017
doomben,20201024
doomben,20201031
doomben,20201103
doomben,20201107
doomben,20201114
doomben,20201128
doomben,20201205
doomben,20201211
doomben,20201219
doomben,20201223
doomben,20201230
doomben,20210107
doomben,20210123
doomben,20210204
doomben,20210211
doomben,20210213
doomben,20210218
doomben,20210303
doomben,20210317
doomben,20210327
doomben,20210331
doomben,20210405
doomben,20210410
doomben,20210413
doomben,20210424
doomben,20210511
doomben,20210515
doomben,20210522
doomben,20210526
doomben,20210602
doomben,20210608
doomben,20210616
doomben,20210623
doomben,20210710
doomben,20210714
doomben,20210724
doomben,20210728
doomben,20210803
doomben,20210807
doomben,20210811
doomben,20210818
doomben,20210828
doomben,20210831
doomben,20210901
doomben,20210911
doomben,20210914
doomben,20210922
doomben,20210926
doomben,20210928
doomben,20211002
doomben,20211006
doomben,20211013
doomben,20211023
doomben,20211113
doomben,20211117
doomben,20211123
doomben,20211204
doomben,20211207
doomben,20211210
doomben,20211226
doomben,20220101
doomben,20220105
doomben,20220112
doomben,20220115
doomben,20220118
doomben,20220122
doomben,20220205
doomben,20220212
doomben,20220216
doomben,20220217
doomben,20220326
doomben,20220404
doomben,20220409
doomben,20220412
doomben,20220413
doomben,20220423
doomben,20220530
doomben,20220601
doomben,20220607
doomben,20220608
doomben,20220615
doomben,20220622
doomben,20220709
doomben,20220713
doomben,20220723
doomben,20220727
doomben,20220802
doomben,20220806
doomben,20220810
doomben,20220820
doomben,20220903
doomben,20220910
doomben,20220914
doomben,20220921
doomben,20221022
doomben,20221027
doomben,20221105
doomben,20221112
doomben,20221116
doomben,20221122
doomben,20221123
doomben,20221203
doomben,20221209
doomben,20221214
doomben,20221220
doomben,20221224
doomben,20221231
doomben,20230111
doomben,20230117
doomben,20230121
doomben,20230125
doomben,20230201
doomben,20230211
doomben,20230214
doomben,20230215
doomben,20230225
doomben,20230301
doomben,20230308
doomben,20230316
doomben,20230318
doomben,20230322
doomben,20230401
doomben,20230408
doomben,20230411
doomben,20230412
doomben,20230422
doomben,20230509
doomben,20230513
doomben,20230520
doomben,20230524
doomben,20230531
doomben,20230606
doomben,20230607
doomben,20230614
doomben,20230621
doomben,20230704
doomben,20230708
doomben,20230712
doomben,20230722
doomben,20230726
doomben,20230801
doomben,20230802
eagle-farm,20200118
eagle-farm,20200201
eagle-farm,20200208
eagle-farm,20200215
eagle-farm,20200222
eagle-farm,20200307
eagle-farm,20200321
eagle-farm,20200325
eagle-farm,20200523
eagle-farm,20200606
eagle-farm,20200613
eagle-farm,20200704
eagle-farm,20200715
eagle-farm,20200722
eagle-farm,20200801
eagle-farm,20200815
eagle-farm,20200829
eagle-farm,20200902
eagle-farm,20200909
eagle-farm,20200916
eagle-farm,20200923
eagle-farm,20201003
eagle-farm,20201012
eagle-farm,20201016
eagle-farm,20201226
eagle-farm,20210102
eagle-farm,20210114
eagle-farm,20210121
eagle-farm,20210128
eagle-farm,20210206
eagle-farm,20210220
eagle-farm,20210225
eagle-farm,20210306
eagle-farm,20210310
eagle-farm,20210320
eagle-farm,20210403
eagle-farm,20210414
eagle-farm,20210417
eagle-farm,20210501
eagle-farm,20210505
eagle-farm,20210529
eagle-farm,20210605
eagle-farm,20210612
eagle-farm,20210626
eagle-farm,20210630
eagle-farm,20210706
eagle-farm,20210707
eagle-farm,20210717
eagle-farm,20210721
eagle-farm,20210731
eagle-farm,20210804
eagle-farm,20210814
eagle-farm,20210821
eagle-farm,20210904
eagle-farm,20210908
eagle-farm,20210917
eagle-farm,20211009
eagle-farm,20211016
eagle-farm,20211026
eagle-farm,20211030
eagle-farm,20211102
eagle-farm,20211106
